id_employe,nom,prenom,poste,id_departement,date_embauche,date_depart,salaire,anciennete,cohorte
260,Nom_260,Prenom_260,Finance,1,2020-01-20,NULL,4214.000,6,2020-01
270,Nom_270,Prenom_270,RH,5,2019-09-04,NULL,4625.000,6,2019-09
273,Nom_273,Prenom_273,Analyste,4,2019-07-22,NULL,4305.000,6,2019-07
275,Nom_275,Prenom_275,Finance,1,2019-05-03,NULL,1935.000,6,2019-05
278,Nom_278,Prenom_278,Developpeur,1,2019-10-21,NULL,1006.000,6,2019-10
279,Nom_279,Prenom_279,Finance,8,2019-10-07,NULL,2119.000,6,2019-10
282,Nom_282,Prenom_282,Finance,6,2019-07-17,NULL,4055.000,6,2019-07
286,Nom_286,Prenom_286,RH,4,2019-05-24,NULL,2657.000,6,2019-05
298,Nom_298,Prenom_298,Analyste,4,2020-02-07,NULL,1775.000,6,2020-02
301,Nom_301,Prenom_301,Manager,6,2019-05-27,NULL,1743.000,6,2019-05
309,Nom_309,Prenom_309,Developpeur,7,2019-12-04,NULL,2030.000,6,2019-12
314,Nom_314,Prenom_314,Developpeur,2,2019-05-31,NULL,3935.000,6,2019-05
318,Nom_318,Prenom_318,Analyste,8,2019-09-20,NULL,3211.000,6,2019-09
321,Nom_321,Prenom_321,RH,1,2019-12-12,NULL,3123.000,6,2019-12
326,Nom_326,Prenom_326,Developpeur,3,2019-01-02,NULL,2840.000,7,2019-01
329,Nom_329,Prenom_329,Developpeur,1,2019-09-11,NULL,2742.000,6,2019-09
335,Nom_335,Prenom_335,Analyste,1,2019-01-09,NULL,1449.000,7,2019-01
340,Nom_340,Prenom_340,Manager,1,2019-07-27,NULL,4931.000,6,2019-07
342,Nom_342,Prenom_342,Manager,6,2020-02-08,NULL,4665.000,6,2020-02
343,Nom_343,Prenom_343,Manager,9,2019-06-01,NULL,3957.000,6,2019-06
344,Nom_344,Prenom_344,RH,9,2019-02-23,NULL,4387.000,7,2019-02
352,Nom_352,Prenom_352,Analyste,3,2019-04-14,NULL,2811.000,6,2019-04
353,Nom_353,Prenom_353,Analyste,7,2019-09-11,NULL,4173.000,6,2019-09
358,Nom_358,Prenom_358,RH,1,2019-04-09,NULL,3999.000,6,2019-04
359,Nom_359,Prenom_359,Manager,8,2019-06-02,NULL,2743.000,6,2019-06
362,Nom_362,Prenom_362,Developpeur,8,2019-12-04,NULL,3936.000,6,2019-12
369,Nom_369,Prenom_369,Analyste,8,2019-06-10,NULL,3637.000,6,2019-06
372,Nom_372,Prenom_372,Finance,7,2020-02-02,NULL,4242.000,6,2020-02
379,Nom_379,Prenom_379,Finance,1,2020-02-05,NULL,4935.000,6,2020-02
390,Nom_390,Prenom_390,Analyste,9,2019-02-07,NULL,4579.000,7,2019-02
391,Nom_391,Prenom_391,Finance,7,2019-08-18,NULL,986.000,6,2019-08
394,Nom_394,Prenom_394,Manager,10,2020-03-13,NULL,2732.000,6,2020-03
397,Nom_397,Prenom_397,Manager,10,2019-01-27,NULL,2832.000,7,2019-01
398,Nom_398,Prenom_398,Finance,2,2019-08-14,NULL,2052.000,6,2019-08
402,Nom_402,Prenom_402,Developpeur,9,2019-10-11,NULL,4003.000,6,2019-10
415,Nom_415,Prenom_415,Analyste,3,2019-01-17,NULL,1205.000,7,2019-01
418,Nom_418,Prenom_418,Developpeur,10,2019-06-07,NULL,2853.000,6,2019-06
423,Nom_423,Prenom_423,Developpeur,7,2019-04-09,NULL,1498.000,6,2019-04
426,Nom_426,Prenom_426,RH,6,2019-10-07,NULL,4708.000,6,2019-10
429,Nom_429,Prenom_429,Finance,2,2019-10-29,NULL,3134.000,6,2019-10
430,Nom_430,Prenom_430,RH,4,2019-06-30,NULL,3609.000,6,2019-06
436,Nom_436,Prenom_436,Analyste,10,2019-07-10,NULL,3347.000,6,2019-07
437,Nom_437,Prenom_437,RH,2,2019-09-10,NULL,3564.000,6,2019-09
443,Nom_443,Prenom_443,Developpeur,10,2019-05-08,NULL,2796.000,6,2019-05
444,Nom_444,Prenom_444,Developpeur,9,2019-01-18,NULL,3929.000,7,2019-01
458,Nom_458,Prenom_458,Developpeur,1,2019-06-04,NULL,3605.000,6,2019-06
464,Nom_464,Prenom_464,Analyste,1,2019-09-03,NULL,1297.000,6,2019-09
472,Nom_472,Prenom_472,Developpeur,6,2020-02-12,NULL,3561.000,6,2020-02
477,Nom_477,Prenom_477,Analyste,5,2019-02-05,NULL,2517.000,7,2019-02
479,Nom_479,Prenom_479,RH,8,2019-01-20,NULL,1867.000,7,2019-01
480,Nom_480,Prenom_480,Finance,3,2019-11-17,NULL,3586.000,6,2019-11
483,Nom_483,Prenom_483,Manager,6,2020-02-04,NULL,4671.000,6,2020-02
494,Nom_494,Prenom_494,Finance,5,2019-02-20,NULL,3462.000,7,2019-02
501,Nom_501,Prenom_501,Manager,1,2019-11-10,NULL,1223.000,6,2019-11
504,Nom_504,Prenom_504,Analyste,6,2019-11-01,NULL,1292.000,6,2019-11
519,Nom_519,Prenom_519,Analyste,10,2019-01-05,NULL,1829.000,7,2019-01
532,Nom_532,Prenom_532,Finance,1,2019-09-26,NULL,3976.000,6,2019-09
533,Nom_533,Prenom_533,Developpeur,3,2020-01-05,NULL,2051.000,6,2020-01
539,Nom_539,Prenom_539,RH,10,2019-04-30,NULL,3456.000,6,2019-04
547,Nom_547,Prenom_547,RH,5,2019-04-27,NULL,2198.000,6,2019-04
573,Nom_573,Prenom_573,Manager,4,2019-09-04,NULL,1427.000,6,2019-09
575,Nom_575,Prenom_575,Analyste,1,2019-06-03,NULL,2844.000,6,2019-06
586,Nom_586,Prenom_586,RH,4,2019-04-04,NULL,2917.000,6,2019-04
593,Nom_593,Prenom_593,Manager,1,2019-08-06,NULL,4859.000,6,2019-08
595,Nom_595,Prenom_595,RH,1,2020-03-07,NULL,2486.000,6,2020-03
596,Nom_596,Prenom_596,RH,8,2019-12-07,NULL,991.000,6,2019-12
602,Nom_602,Prenom_602,Manager,2,2019-12-23,NULL,2852.000,6,2019-12
603,Nom_603,Prenom_603,RH,6,2019-01-23,NULL,4108.000,7,2019-01
621,Nom_621,Prenom_621,Finance,1,2019-12-02,NULL,1414.000,6,2019-12
626,Nom_626,Prenom_626,Developpeur,1,2019-06-09,NULL,1696.000,6,2019-06
632,Nom_632,Prenom_632,RH,8,2020-01-15,NULL,4062.000,6,2020-01
644,Nom_644,Prenom_644,Developpeur,4,2019-10-12,NULL,1389.000,6,2019-10
645,Nom_645,Prenom_645,Developpeur,6,2020-02-01,NULL,3621.000,6,2020-02
646,Nom_646,Prenom_646,RH,3,2019-01-12,NULL,2062.000,7,2019-01
652,Nom_652,Prenom_652,RH,2,2019-02-04,NULL,3262.000,7,2019-02
655,Nom_655,Prenom_655,Developpeur,7,2019-03-31,NULL,3522.000,6,2019-03
661,Nom_661,Prenom_661,Developpeur,10,2020-02-22,NULL,4403.000,6,2020-02
670,Nom_670,Prenom_670,Analyste,6,2020-02-17,NULL,3266.000,6,2020-02
681,Nom_681,Prenom_681,Finance,3,2019-07-11,NULL,4012.000,6,2019-07
688,Nom_688,Prenom_688,Manager,10,2019-04-06,NULL,986.000,6,2019-04
693,Nom_693,Prenom_693,Analyste,4,2019-02-06,NULL,3006.000,7,2019-02
698,Nom_698,Prenom_698,RH,5,2019-10-06,NULL,4375.000,6,2019-10
699,Nom_699,Prenom_699,Analyste,8,2019-08-05,NULL,1675.000,6,2019-08
704,Nom_704,Prenom_704,Manager,2,2019-03-03,NULL,4866.000,7,2019-03
708,Nom_708,Prenom_708,Finance,8,2020-02-01,NULL,1457.000,6,2020-02
716,Nom_716,Prenom_716,RH,2,2019-03-17,NULL,2457.000,6,2019-03
717,Nom_717,Prenom_717,Developpeur,6,2019-09-22,NULL,3341.000,6,2019-09
727,Nom_727,Prenom_727,Finance,9,2019-05-24,NULL,2564.000,6,2019-05
731,Nom_731,Prenom_731,Analyste,9,2020-01-31,NULL,3471.000,6,2020-01
747,Nom_747,Prenom_747,RH,1,2020-02-02,NULL,1578.000,6,2020-02
754,Nom_754,Prenom_754,Developpeur,5,2019-08-23,NULL,1640.000,6,2019-08
769,Nom_769,Prenom_769,RH,5,2019-06-19,NULL,4365.000,6,2019-06
776,Nom_776,Prenom_776,Finance,9,2019-01-29,NULL,2601.000,7,2019-01
788,Nom_788,Prenom_788,Analyste,6,2019-08-05,NULL,986.000,6,2019-08
798,Nom_798,Prenom_798,Developpeur,2,2019-06-16,NULL,2859.000,6,2019-06
799,Nom_799,Prenom_799,Developpeur,3,2019-04-01,NULL,940.000,6,2019-04
802,Nom_802,Prenom_802,Manager,8,2019-02-08,NULL,816.000,7,2019-02
805,Nom_805,Prenom_805,Analyste,1,2019-06-22,NULL,3828.000,6,2019-06
818,Nom_818,Prenom_818,Analyste,6,2020-01-22,NULL,4164.000,6,2020-01
819,Nom_819,Prenom_819,Manager,8,2019-12-14,NULL,4782.000,6,2019-12
820,Nom_820,Prenom_820,RH,2,2019-07-09,NULL,4813.000,6,2019-07
830,Nom_830,Prenom_830,Developpeur,6,2019-05-14,NULL,4739.000,6,2019-05
831,Nom_831,Prenom_831,RH,4,2019-02-27,NULL,844.000,7,2019-02
835,Nom_835,Prenom_835,Analyste,10,2019-06-22,NULL,1629.000,6,2019-06
838,Nom_838,Prenom_838,Developpeur,1,2019-03-21,NULL,1491.000,6,2019-03
841,Nom_841,Prenom_841,RH,1,2019-07-22,NULL,4206.000,6,2019-07
850,Nom_850,Prenom_850,Finance,6,2019-02-16,NULL,2678.000,7,2019-02
868,Nom_868,Prenom_868,Manager,7,2019-12-24,NULL,1961.000,6,2019-12
885,Nom_885,Prenom_885,Developpeur,7,2019-02-10,NULL,4592.000,7,2019-02
902,Nom_902,Prenom_902,Analyste,8,2020-01-25,NULL,4667.000,6,2020-01
905,Nom_905,Prenom_905,Analyste,1,2019-09-13,NULL,1644.000,6,2019-09
908,Nom_908,Prenom_908,Finance,6,2019-01-10,NULL,2197.000,7,2019-01
918,Nom_918,Prenom_918,RH,4,2020-01-09,NULL,1321.000,6,2020-01
920,Nom_920,Prenom_920,Analyste,9,2019-05-26,NULL,3352.000,6,2019-05
921,Nom_921,Prenom_921,Developpeur,8,2019-08-12,NULL,4609.000,6,2019-08
923,Nom_923,Prenom_923,Analyste,1,2019-06-26,NULL,4279.000,6,2019-06
927,Nom_927,Prenom_927,Analyste,10,2019-03-04,NULL,3460.000,7,2019-03
934,Nom_934,Prenom_934,Developpeur,10,2019-04-15,NULL,2551.000,6,2019-04
937,Nom_937,Prenom_937,Finance,8,2020-01-20,NULL,4931.000,6,2020-01
938,Nom_938,Prenom_938,Analyste,1,2020-02-09,NULL,2508.000,6,2020-02
952,Nom_952,Prenom_952,RH,7,2019-03-24,NULL,4589.000,6,2019-03
958,Nom_958,Prenom_958,Analyste,6,2019-02-20,NULL,4272.000,7,2019-02
969,Nom_969,Prenom_969,Developpeur,8,2019-04-05,NULL,1584.000,6,2019-04
972,Nom_972,Prenom_972,RH,7,2019-06-03,NULL,4854.000,6,2019-06
973,Nom_973,Prenom_973,Manager,1,2019-09-07,NULL,1735.000,6,2019-09
975,Nom_975,Prenom_975,Developpeur,8,2020-03-13,NULL,3138.000,6,2020-03
979,Nom_979,Prenom_979,Developpeur,9,2019-09-25,NULL,4661.000,6,2019-09
981,Nom_981,Prenom_981,Developpeur,10,2019-08-24,NULL,3578.000,6,2019-08
982,Nom_982,Prenom_982,RH,4,2020-01-24,NULL,2070.000,6,2020-01
986,Nom_986,Prenom_986,Developpeur,8,2020-02-05,NULL,4842.000,6,2020-02
995,Nom_995,Prenom_995,Developpeur,3,2019-03-16,NULL,4796.000,6,2019-03
996,Nom_996,Prenom_996,Analyste,10,2020-03-10,NULL,1651.000,6,2020-03
997,Nom_997,Prenom_997,RH,4,2019-04-13,NULL,4903.000,6,2019-04
1004,Nom_1004,Prenom_1004,Manager,1,2019-04-08,NULL,1042.000,6,2019-04
1008,Nom_1008,Prenom_1008,Analyste,3,2020-03-10,NULL,4312.000,6,2020-03
1011,Nom_1011,Prenom_1011,RH,5,2019-09-06,NULL,2958.000,6,2019-09
1012,Nom_1012,Prenom_1012,Developpeur,3,2019-06-15,NULL,2772.000,6,2019-06
1021,Nom_1021,Prenom_1021,Developpeur,5,2019-03-22,NULL,4790.000,6,2019-03
1025,Nom_1025,Prenom_1025,Finance,2,2019-05-18,NULL,4862.000,6,2019-05
1026,Nom_1026,Prenom_1026,Developpeur,1,2019-07-03,NULL,4845.000,6,2019-07
1035,Nom_1035,Prenom_1035,RH,5,2019-02-22,NULL,2707.000,7,2019-02
1037,Nom_1037,Prenom_1037,Manager,1,2019-07-24,NULL,2266.000,6,2019-07
1038,Nom_1038,Prenom_1038,Manager,1,2019-05-06,NULL,4757.000,6,2019-05
1040,Nom_1040,Prenom_1040,Finance,2,2019-02-12,NULL,1175.000,7,2019-02
1042,Nom_1042,Prenom_1042,Developpeur,9,2019-04-21,NULL,4188.000,6,2019-04
1047,Nom_1047,Prenom_1047,Finance,5,2019-04-05,NULL,2452.000,6,2019-04
1051,Nom_1051,Prenom_1051,RH,3,2019-12-26,NULL,2712.000,6,2019-12
1054,Nom_1054,Prenom_1054,Manager,7,2019-10-08,NULL,1180.000,6,2019-10
1058,Nom_1058,Prenom_1058,Manager,5,2019-04-03,NULL,1165.000,6,2019-04
1060,Nom_1060,Prenom_1060,RH,7,2019-03-02,NULL,4219.000,7,2019-03
1074,Nom_1074,Prenom_1074,Analyste,1,2019-08-21,NULL,2573.000,6,2019-08
1084,Nom_1084,Prenom_1084,Finance,3,2019-02-16,NULL,2672.000,7,2019-02
1086,Nom_1086,Prenom_1086,RH,9,2019-08-02,NULL,1992.000,6,2019-08
1089,Nom_1089,Prenom_1089,RH,5,2019-12-16,NULL,4177.000,6,2019-12
1090,Nom_1090,Prenom_1090,Developpeur,8,2019-04-17,NULL,1472.000,6,2019-04
1092,Nom_1092,Prenom_1092,RH,7,2019-02-17,NULL,2011.000,7,2019-02
1094,Nom_1094,Prenom_1094,Manager,5,2019-12-03,NULL,2339.000,6,2019-12
1098,Nom_1098,Prenom_1098,Manager,6,2019-01-08,NULL,1529.000,7,2019-01
1103,Nom_1103,Prenom_1103,Analyste,8,2019-10-30,NULL,4850.000,6,2019-10
1105,Nom_1105,Prenom_1105,Manager,7,2019-02-25,NULL,1555.000,7,2019-02
1109,Nom_1109,Prenom_1109,Manager,3,2019-01-28,NULL,3375.000,7,2019-01
1113,Nom_1113,Prenom_1113,Analyste,6,2019-12-31,NULL,4422.000,6,2019-12
1135,Nom_1135,Prenom_1135,Finance,7,2019-01-28,NULL,1661.000,7,2019-01
1140,Nom_1140,Prenom_1140,Finance,1,2019-03-27,NULL,1204.000,6,2019-03
1145,Nom_1145,Prenom_1145,Analyste,4,2019-05-25,NULL,1546.000,6,2019-05
1148,Nom_1148,Prenom_1148,Developpeur,5,2019-01-25,NULL,1070.000,7,2019-01
1151,Nom_1151,Prenom_1151,Finance,1,2019-03-08,NULL,1073.000,7,2019-03
1152,Nom_1152,Prenom_1152,Finance,1,2019-08-21,NULL,3106.000,6,2019-08
1155,Nom_1155,Prenom_1155,Finance,4,2019-04-21,NULL,2571.000,6,2019-04
1156,Nom_1156,Prenom_1156,RH,1,2019-08-16,NULL,1221.000,6,2019-08
1157,Nom_1157,Prenom_1157,Analyste,9,2019-04-21,NULL,2009.000,6,2019-04
1159,Nom_1159,Prenom_1159,Analyste,2,2019-02-03,NULL,4067.000,7,2019-02
1166,Nom_1166,Prenom_1166,RH,7,2020-02-29,NULL,3956.000,6,2020-02
1174,Nom_1174,Prenom_1174,RH,4,2019-11-11,NULL,1753.000,6,2019-11
3,Nom_3,Prenom_3,Manager,1,2019-11-27,NULL,2447.000,6,2019-11
5,Nom_5,Prenom_5,Manager,5,2019-03-29,NULL,4487.000,6,2019-03
10,Nom_10,Prenom_10,Manager,6,2019-05-11,NULL,1520.000,6,2019-05
14,Nom_14,Prenom_14,Developpeur,8,2019-12-10,NULL,914.000,6,2019-12
18,Nom_18,Prenom_18,Developpeur,7,2020-01-21,NULL,3053.000,6,2020-01
21,Nom_21,Prenom_21,Analyste,1,2019-10-04,NULL,946.000,6,2019-10
25,Nom_25,Prenom_25,Developpeur,2,2019-01-22,NULL,936.000,7,2019-01
26,Nom_26,Prenom_26,Manager,1,2019-09-10,NULL,4160.000,6,2019-09
1190,Nom_1190,Prenom_1190,Developpeur,4,2019-12-16,NULL,834.000,6,2019-12
1197,Nom_1197,Prenom_1197,Developpeur,4,2019-08-31,NULL,1703.000,6,2019-08
1200,Nom_1200,Prenom_1200,Analyste,6,2019-08-17,NULL,1139.000,6,2019-08
1204,Nom_1204,Prenom_1204,Finance,8,2019-01-06,NULL,4066.000,7,2019-01
1208,Nom_1208,Prenom_1208,Finance,5,2019-03-16,NULL,1816.000,6,2019-03
1209,Nom_1209,Prenom_1209,Analyste,6,2019-01-04,NULL,2862.000,7,2019-01
1211,Nom_1211,Prenom_1211,Analyste,3,2019-04-28,NULL,2437.000,6,2019-04
1246,Nom_1246,Prenom_1246,Developpeur,6,2019-09-16,NULL,2831.000,6,2019-09
1250,Nom_1250,Prenom_1250,RH,9,2019-01-10,NULL,2341.000,7,2019-01
1251,Nom_1251,Prenom_1251,Manager,3,2019-09-18,NULL,4303.000,6,2019-09
1253,Nom_1253,Prenom_1253,Finance,5,2019-06-21,NULL,3276.000,6,2019-06
1255,Nom_1255,Prenom_1255,RH,7,2019-01-13,NULL,1941.000,7,2019-01
1259,Nom_1259,Prenom_1259,Analyste,6,2019-11-17,NULL,1889.000,6,2019-11
1262,Nom_1262,Prenom_1262,Analyste,7,2019-11-25,NULL,3660.000,6,2019-11
1271,Nom_1271,Prenom_1271,RH,9,2019-11-14,NULL,2251.000,6,2019-11
1272,Nom_1272,Prenom_1272,Manager,8,2019-08-24,NULL,2551.000,6,2019-08
1273,Nom_1273,Prenom_1273,Analyste,10,2019-11-30,NULL,3080.000,6,2019-11
1288,Nom_1288,Prenom_1288,RH,7,2019-09-27,NULL,3439.000,6,2019-09
1293,Nom_1293,Prenom_1293,Finance,3,2019-01-05,NULL,1484.000,7,2019-01
1296,Nom_1296,Prenom_1296,Manager,10,2019-03-19,NULL,2262.000,6,2019-03
1299,Nom_1299,Prenom_1299,RH,10,2019-05-12,NULL,4980.000,6,2019-05
1303,Nom_1303,Prenom_1303,Finance,4,2019-03-30,NULL,4360.000,6,2019-03
1305,Nom_1305,Prenom_1305,Manager,6,2019-10-23,NULL,1426.000,6,2019-10
1312,Nom_1312,Prenom_1312,Developpeur,2,2020-02-26,NULL,4334.000,6,2020-02
1315,Nom_1315,Prenom_1315,Finance,6,2019-05-23,NULL,2682.000,6,2019-05
1318,Nom_1318,Prenom_1318,RH,1,2019-05-25,NULL,1481.000,6,2019-05
1329,Nom_1329,Prenom_1329,Analyste,5,2020-01-26,NULL,4629.000,6,2020-01
1341,Nom_1341,Prenom_1341,Finance,7,2020-02-24,NULL,1701.000,6,2020-02
1342,Nom_1342,Prenom_1342,Analyste,1,2019-06-06,NULL,1898.000,6,2019-06
1350,Nom_1350,Prenom_1350,Finance,10,2019-10-16,NULL,1858.000,6,2019-10
1352,Nom_1352,Prenom_1352,RH,6,2019-07-15,NULL,2848.000,6,2019-07
1362,Nom_1362,Prenom_1362,Analyste,4,2019-08-16,NULL,3777.000,6,2019-08
1363,Nom_1363,Prenom_1363,Finance,9,2019-08-04,NULL,2671.000,6,2019-08
1366,Nom_1366,Prenom_1366,RH,8,2019-01-15,NULL,844.000,7,2019-01
1371,Nom_1371,Prenom_1371,RH,2,2019-02-16,NULL,1833.000,7,2019-02
1372,Nom_1372,Prenom_1372,RH,4,2019-11-20,NULL,2840.000,6,2019-11
1375,Nom_1375,Prenom_1375,Manager,1,2019-05-10,NULL,2579.000,6,2019-05
1377,Nom_1377,Prenom_1377,RH,7,2019-04-05,NULL,1315.000,6,2019-04
1218,Nom_1218,Prenom_1218,Finance,2,2019-07-13,NULL,2031.000,6,2019-07
1224,Nom_1224,Prenom_1224,Manager,8,2019-06-22,NULL,4336.000,6,2019-06
1227,Nom_1227,Prenom_1227,Manager,7,2019-11-22,NULL,2317.000,6,2019-11
1233,Nom_1233,Prenom_1233,Analyste,2,2019-08-13,NULL,3896.000,6,2019-08
1236,Nom_1236,Prenom_1236,Developpeur,1,2019-05-20,NULL,2669.000,6,2019-05
1239,Nom_1239,Prenom_1239,Analyste,5,2019-03-31,NULL,4315.000,6,2019-03
1241,Nom_1241,Prenom_1241,RH,6,2019-11-16,NULL,3026.000,6,2019-11
1243,Nom_1243,Prenom_1243,Analyste,5,2019-05-19,NULL,3579.000,6,2019-05
1383,Nom_1383,Prenom_1383,Developpeur,8,2019-03-10,NULL,942.000,7,2019-03
1385,Nom_1385,Prenom_1385,RH,3,2019-01-11,NULL,1587.000,7,2019-01
1391,Nom_1391,Prenom_1391,Developpeur,2,2019-01-23,NULL,4060.000,7,2019-01
1393,Nom_1393,Prenom_1393,Analyste,3,2019-12-12,NULL,1940.000,6,2019-12
1394,Nom_1394,Prenom_1394,Manager,4,2019-10-29,NULL,3114.000,6,2019-10
1395,Nom_1395,Prenom_1395,RH,8,2019-12-29,NULL,3332.000,6,2019-12
1397,Nom_1397,Prenom_1397,Manager,10,2019-08-06,NULL,1987.000,6,2019-08
1398,Nom_1398,Prenom_1398,Analyste,6,2019-05-21,NULL,4139.000,6,2019-05
1410,Nom_1410,Prenom_1410,Finance,1,2019-12-22,NULL,1974.000,6,2019-12
1415,Nom_1415,Prenom_1415,Developpeur,2,2019-05-07,NULL,4886.000,6,2019-05
1422,Nom_1422,Prenom_1422,Manager,8,2019-02-20,NULL,1531.000,7,2019-02
1436,Nom_1436,Prenom_1436,Finance,4,2020-02-24,NULL,4189.000,6,2020-02
1442,Nom_1442,Prenom_1442,Developpeur,9,2020-01-06,NULL,3717.000,6,2020-01
1451,Nom_1451,Prenom_1451,Analyste,2,2019-11-09,NULL,4574.000,6,2019-11
1452,Nom_1452,Prenom_1452,RH,7,2019-04-27,NULL,3020.000,6,2019-04
1456,Nom_1456,Prenom_1456,RH,3,2019-09-01,NULL,4792.000,6,2019-09
1459,Nom_1459,Prenom_1459,Manager,1,2019-03-16,NULL,3997.000,6,2019-03
1460,Nom_1460,Prenom_1460,RH,4,2020-01-21,NULL,2262.000,6,2020-01
1463,Nom_1463,Prenom_1463,Analyste,7,2020-02-22,NULL,4353.000,6,2020-02
1464,Nom_1464,Prenom_1464,Finance,9,2019-12-13,NULL,2107.000,6,2019-12
1474,Nom_1474,Prenom_1474,Analyste,10,2019-01-25,NULL,3516.000,7,2019-01
1479,Nom_1479,Prenom_1479,Manager,1,2019-06-26,NULL,4629.000,6,2019-06
1481,Nom_1481,Prenom_1481,Manager,5,2019-03-04,NULL,3130.000,7,2019-03
1485,Nom_1485,Prenom_1485,Developpeur,3,2019-06-05,NULL,3958.000,6,2019-06
1493,Nom_1493,Prenom_1493,Manager,1,2019-05-28,NULL,4303.000,6,2019-05
